2024-07-14 02:42:37 | | READY_FOR_LIFTOFF | Lat,Long=-31.98822,115.81028 | B_Alt=0.06 | B_Pres=1014.33 | B_Temp=21.79 | A_Vel=0.00 | B_Vel=3.69 | F_Vel=0.00 | Cont_A,M=0,0 | accel=768,619,-1005 |
2024-07-14 02:42:38 | | READY_FOR_LIFTOFF | Lat,Long=-31.98822,115.81028 | B_Alt=-0.13 | B_Pres=1014.30 | B_Temp=21.77 | A_Vel=0.00 | B_Vel=0.14 | F_Vel=0.00 | Cont_A,M=0,0 | accel=762,614,-997 |
2024-07-14 02:42:39 | | READY_FOR_LIFTOFF | Lat,Long=-31.98822,115.81028 | B_Alt=0.30 | B_Pres=1014.32 | B_Temp=21.74 | A_Vel=0.00 | B_Vel=1.34 | F_Vel=0.00 | Cont_A,M=0,0 | accel=762,615,-1007 |
2024-07-14 02:42:40 | | READY_FOR_LIFTOFF | Lat,Long=-31.98822,115.81028 | B_Alt=-0.30 | B_Pres=1014.33 | B_Temp=21.76 | A_Vel=0.00 | B_Vel=-4.81 | F_Vel=0.00 | Cont_A,M=0,0 | accel=757,618,-1008 |
2024-07-14 02:42:41 | | READY_FOR_LIFTOFF | Lat,Long=-31.98822,115.81028 | B_Alt=-0.01 | B_Pres=1014.37 | B_Temp=21.74 | A_Vel=0.00 | B_Vel=0.97 | F_Vel=0.00 | Cont_A,M=0,0 | accel=768,619,-1006 |
2024-07-14 02:42:42 | | READY_FOR_LIFTOFF | Lat,Long=-31.98822,115.81028 | B_Alt=-0.61 | B_Pres=1014.36 | B_Temp=21.73 | A_Vel=0.00 | B_Vel=-1.58 | F_Vel=0.00 | Cont_A,M=0,0 | accel=764,621,-1006 |
2024-07-14 02:42:43 | | READY_FOR_LIFTOFF | Lat,Long=-31.98822,115.81028 | B_Alt=-0.30 | B_Pres=1014.34 | B_Temp=21.69 | A_Vel=0.00 | B_Vel=1.63 | F_Vel=0.00 | Cont_A,M=0,0 | accel=756,615,-1006 |
2024-07-14 02:42:44 | | READY_FOR_LIFTOFF | Lat,Long=-31.98822,115.81028 | B_Alt=-0.53 | B_Pres=1014.36 | B_Temp=21.74 | A_Vel=0.00 | B_Vel=-2.23 | F_Vel=0.00 | Cont_A,M=0,0 | accel=759,616,-1004 |
2024-07-14 02:42:45 | | READY_FOR_LIFTOFF | Lat,Long=-31.98822,115.81028 | B_Alt=0.18 | B_Pres=1014.34 | B_Temp=21.77 | A_Vel=0.00 | B_Vel=-1.93 | F_Vel=0.00 | Cont_A,M=0,0 | accel=765,617,-1006 |
2024-07-14 02:42:46 | | READY_FOR_LIFTOFF | Lat,Long=-31.98822,115.81028 | B_Alt=-0.07 | B_Pres=1014.35 | B_Temp=21.78 | A_Vel=0.00 | B_Vel=-0.06 | F_Vel=0.00 | Cont_A,M=0,0 | accel=767,614,-1006 |
2024-07-14 02:42:47 | | READY_FOR_LIFTOFF | Lat,Long=-31.98822,115.81028 | B_Alt=0.46 | B_Pres=1014.28 | B_Temp=21.78 | A_Vel=0.00 | B_Vel=3.30 | F_Vel=0.00 | Cont_A,M=0,0 | accel=761,616,-1003 |
2024-07-14 02:42:48 | | READY_FOR_LIFTOFF | Lat,Long=-31.98822,115.81029 | B_Alt=0.02 | B_Pres=1014.31 | B_Temp=21.80 | A_Vel=0.00 | B_Vel=-2.40 | F_Vel=0.00 | Cont_A,M=0,0 | accel=763,616,-1005 |
